anio,entidad,poblacion,delito_semaforo,incidentes,incidentes_per_10000_hab
2018,Aguascalientes,1401308,Secuestros,10,0.7136189902576735
2018,Aguascalientes,1401308,Violación,175,12.488332329509287
2018,Aguascalientes,1401308,Violencia familiar,1610,114.89265743148545
2019,Aguascalientes,1424587,Extorsión,116,8.14271083478931
2019,Aguascalientes,1424587,Feminicidio,5,0.3509789152926427
2019,Aguascalientes,1424587,Homicidios,91,6.387816258326097
2019,Aguascalientes,1424587,Lesiones,3788,265.90162622570614
2019,Aguascalientes,1424587,Narcomenudeo,2206,154.85189742711395
2019,Aguascalientes,1424587,Robo a casa,2817,197.7415208758749
2019,Aguascalientes,1424587,Robo a negocio,2212,155.27307212546515
2019,Aguascalientes,1424587,Robo a vehículo,2399,168.39968355741
2019,Aguascalientes,1424587,Secuestros,12,0.8423493967023425
2019,Aguascalientes,1424587,Violación,216,15.162289140642166
2019,Aguascalientes,1424587,Violencia familiar,2152,151.06132514195343
2020,Aguascalientes,1447986,Extorsión,104,7.182389884985076
2020,Aguascalientes,1447986,Feminicidio,3,0.20718432360533873
2020,Aguascalientes,1447986,Homicidios,72,4.972423766528129
2020,Aguascalientes,1447986,Lesiones,3505,242.06035141223742
2020,Aguascalientes,1447986,Narcomenudeo,2099,144.95996508253532
2020,Aguascalientes,1447986,Robo a casa,2457,169.68396103277243
2020,Aguascalientes,1447986,Robo a negocio,1938,133.84107304904882
2020,Aguascalientes,1447986,Robo a vehículo,1668,115.19448392456833
2020,Aguascalientes,1447986,Secuestros,12,0.8287372944213549
2020,Aguascalientes,1447986,Violación,206,14.226656887566593
2020,Aguascalientes,1447986,Violencia familiar,2153,148.68928290743142
2021,Aguascalientes,1464103,Extorsión,88,6.01050609144302
2021,Aguascalientes,1464103,Feminicidio,9,0.614710850261218
2021,Aguascalientes,1464103,Homicidios,75,5.122590418843483
2021,Aguascalientes,1464103,Lesiones,3475,237.34668940641473
2021,Aguascalientes,1464103,Narcomenudeo,1113,76.01924181563729
2021,Aguascalientes,1464103,Robo a casa,2343,160.0297246846704
2021,Aguascalientes,1464103,Robo a negocio,1900,129.77229061070156
2021,Aguascalientes,1464103,Robo a vehículo,1332,90.97720583866025
2021,Aguascalientes,1464103,Secuestros,3,0.20490361675373933
2021,Aguascalientes,1464103,Violación,255,17.41680742406784
2021,Aguascalientes,1464103,Violencia familiar,2288,156.2731583775185
2022,Aguascalientes,1481183,Extorsión,97,6.548819423393328
2022,Aguascalientes,1481183,Feminicidio,10,0.67513602303024
2022,Aguascalientes,1481183,Homicidios,70,4.72595216121168
2022,Aguascalientes,1481183,Lesiones,3606,243.45404990470456
2022,Aguascalientes,1481183,Narcomenudeo,2079,140.3607791879869
2022,Aguascalientes,1481183,Robo a casa,2115,142.79126887089578
2022,Aguascalientes,1481183,Robo a negocio,2113,142.6562416662897
2022,Aguascalientes,1481183,Robo a vehículo,1540,103.97094754665696
2022,Aguascalientes,1481183,Secuestros,5,0.33756801151512
2022,Aguascalientes,1481183,Violación,250,16.878400575756
2022,Aguascalientes,1481183,Violencia familiar,2534,171.07946823586283
2023,Aguascalientes,1501081,Extorsión,88,5.862441800275935
2023,Aguascalientes,1501081,Feminicidio,2,0.13323731364263489
2023,Aguascalientes,1501081,Homicidios,67,4.4634500070282686
2023,Aguascalientes,1501081,Lesiones,3081,205.25208166647903
2023,Aguascalientes,1501081,Narcomenudeo,1843,122.77818452168803
2023,Aguascalientes,1501081,Robo a casa,1939,129.17357557653452
2023,Aguascalientes,1501081,Robo a negocio,1823,121.44581138526169
2023,Aguascalientes,1501081,Robo a vehículo,1291,86.00468595632081
2023,Aguascalientes,1501081,Secuestros,0,0.0
2023,Aguascalientes,1501081,Violación,217,14.456248530225883
2023,Aguascalientes,1501081,Violencia familiar,2620,174.5408808718517
2015,Baja California,3366781,Extorsión,221,6.564133515069736
2015,Baja California,3366781,Feminicidio,10,0.2970196160665039
2015,Baja California,3366781,Homicidios,821,24.385310479059967
2015,Baja California,3366781,Lesiones,11670,346.62189194961
2015,Baja California,3366781,Narcomenudeo,0,0.0
2015,Baja California,3366781,Robo a casa,12999,386.0957989248484
2015,Baja California,3366781,Robo a negocio,5532,164.31125160798996
2015,Baja California,3366781,Robo a vehículo,14138,419.9263331948232
2015,Baja California,3366781,Secuestros,11,0.3267215776731543
2015,Baja California,3366781,Violación,696,20.67256527822867
2015,Baja California,3366781,Violencia familiar,8892,264.10984260633523
2016,Baja California,3445434,Extorsión,175,5.079185960317336
2016,Baja California,3445434,Feminicidio,12,0.34828703727890303
2016,Baja California,3445434,Homicidios,1168,33.89993829514656
2016,Baja California,3445434,Lesiones,9622,279.26815605813374
2016,Baja California,3445434,Narcomenudeo,1763,51.1691705602255
2016,Baja California,3445434,Robo a casa,11238,326.1708104116927
2016,Baja California,3445434,Robo a negocio,6503,188.7425502853922
2016,Baja California,3445434,Robo a vehículo,16628,482.6097379894666
2016,Baja California,3445434,Secuestros,14,0.4063348768253869
2016,Baja California,3445434,Violación,617,17.907758500090264
2016,Baja California,3445434,Violencia familiar,8315,241.33389291450655
2017,Baja California,3535663,Extorsión,198,5.600081229461066
2017,Baja California,3535663,Feminicidio,11,0.3111156238589481
2017,Baja California,3535663,Homicidios,2084,58.942269102004346
2017,Baja California,3535663,Lesiones,9219,260.7431760323311
2017,Baja California,3535663,Narcomenudeo,5745,162.4872053699688
2017,Baja California,3535663,Robo a casa,9267,262.1007714818975
2017,Baja California,3535663,Robo a negocio,8275,234.04379885752687
2017,Baja California,3535663,Robo a vehículo,20300,574.1497422124224
2017,Baja California,3535663,Secuestros,13,0.3676821009242114
2017,Baja California,3535663,Violación,667,18.86492010126531
2017,Baja California,3535663,Violencia familiar,8554,241.93482240813108
2018,Baja California,3627724,Extorsión,135,3.7213415353538473
2018,Baja California,3627724,Feminicidio,27,0.7442683070707694
2018,Baja California,3627724,Homicidios,2798,77.1282490068153
2018,Baja California,3627724,Lesiones,7890,217.4917386217915
2018,Baja California,3627724,Narcomenudeo,7855,216.52694637188497
2018,Baja California,3627724,Robo a casa,6914,190.58781759582592
2018,Baja California,3627724,Robo a negocio,5798,159.82472757023413
2018,Baja California,3627724,Robo a vehículo,16106,443.9698279141412
2018,Baja California,3627724,Secuestros,15,0.41348239281709415
2018,Baja California,3627724,Violación,643,17.7246119054261
2018,Baja California,3627724,Violencia familiar,9904,273.0086412307
2019,Baja California,3721037,Extorsión,218,5.858581895315742
2019,Baja California,3721037,Feminicidio,23,0.6181072641846883
2019,Baja California,3721037,Homicidios,2606,70.03424045501295
2019,Baja California,3721037,Lesiones,6898,185.3784307976513
2019,Baja California,3721037,Narcomenudeo,10307,276.99267704137316
2019,Baja California,3721037,Robo a casa,5559,149.3938383305514
2019,Baja California,3721037,Robo a negocio,5266,141.51968926941603
2019,Baja California,3721037,Robo a vehículo,13995,376.104833141944
2019,Baja California,3721037,Secuestros,10,0.2687422887759514
2019,Baja California,3721037,Violación,645,17.333877626048867
2019,Baja California,3721037,Violencia familiar,10455,280.97006291525724
2020,Baja California,3814297,Extorsión,127,3.329578163420415
2020,Baja California,3814297,Feminicidio,31,0.8127316776852982
2020,Baja California,3814297,Homicidios,2629,68.9248896978919
2020,Baja California,3814297,Lesiones,5582,146.34413628513983
2020,Baja California,3814297,Narcomenudeo,9916,259.96926825572314
2020,Baja California,3814297,Robo a casa,3610,94.64391472399764
2020,Baja California,3814297,Robo a negocio,4056,106.3367640223087
2020,Baja California,3814297,Robo a vehículo,10361,271.63590040314114
2020,Baja California,3814297,Secuestros,14,0.3670401125030379
2020,Baja California,3814297,Violación,569,14.917558858159184
2020,Baja California,3814297,Violencia familiar,10781,282.6471037782323
2021,Baja California,3862934,Extorsión,169,4.374912954764436
2021,Baja California,3862934,Feminicidio,20,0.5177411780786314
2021,Baja California,3862934,Homicidios,2670,69.1184472734973
2021,Baja California,3862934,Lesiones,5162,133.62899806209478
2021,Baja California,3862934,Narcomenudeo,8051,208.41671123555307
2021,Baja California,3862934,Robo a casa,3043,78.77432024466377
2021,Baja California,3862934,Robo a negocio,4947,128.06328039774948
2021,Baja California,3862934,Robo a vehículo,11459,296.6398079801519
2021,Baja California,3862934,Secuestros,15,0.38830588355897355
2021,Baja California,3862934,Violación,590,15.273364753319626
2021,Baja California,3862934,Violencia familiar,12568,325.348556304612
2022,Baja California,3916900,Extorsión,172,4.391227756644285
2022,Baja California,3916900,Feminicidio,26,0.6637902422834384
2022,Baja California,3916900,Homicidios,2399,61.24741504761418
2022,Baja California,3916900,Lesiones,5290,135.05578391074573
2022,Baja California,3916900,Narcomenudeo,9655,246.49595343256146
2022,Baja California,3916900,Robo a casa,3270,83.48438816410938
2022,Baja California,3916900,Robo a negocio,4618,117.89935918711225
2022,Baja California,3916900,Robo a vehículo,12353,315.3769562664352
2022,Baja California,3916900,Secuestros,18,0.4595470908116112
2022,Baja California,3916900,Violación,660,16.850059996425745
2022,Baja California,3916900,Violencia familiar,13262,338.58408435242154
2023,Baja California,3979513,Extorsión,86,2.161068452345802
2023,Baja California,3979513,Feminicidio,17,0.42718794988230974
2023,Baja California,3979513,Homicidios,1764,44.3270319760232
2023,Baja California,3979513,Lesiones,5082,127.70406831187636
2023,Baja California,3979513,Narcomenudeo,8420,211.5836787064146
2023,Baja California,3979513,Robo a casa,2641,66.36490444936352
2023,Baja California,3979513,Robo a negocio,3697,92.90081474793524
2023,Baja California,3979513,Robo a vehículo,9609,241.461706495242
2023,Baja California,3979513,Secuestros,7,0.1759009205397746
2023,Baja California,3979513,Violación,608,15.278251384026136
2023,Baja California,3979513,Violencia familiar,12386,311.244114543664
2015,Baja California Sur,722099,Extorsión,49,6.785773141909904
2015,Baja California Sur,722099,Feminicidio,0,0.0
2015,Baja California Sur,722099,Homicidios,151,20.911260090375418
2015,Baja California Sur,722099,Lesiones,1292,178.9228346805632
2015,Baja California Sur,722099,Narcomenudeo,604,83.64504036150167
2015,Baja California Sur,722099,Robo a casa,2469,341.91987525256235
2015,Baja California Sur,722099,Robo a negocio,4,0.5539406646457065
2015,Baja California Sur,722099,Robo a vehículo,1190,164.79734773209768
2015,Baja California Sur,722099,Secuestros,0,0.0
2015,Baja California Sur,722099,Violación,131,18.141556767146888
2015,Baja California Sur,722099,Violencia familiar,1691,234.17841597897242
2016,Baja California Sur,738609,Extorsión,139,18.819158715910582
2016,Baja California Sur,738609,Feminicidio,0,0.0
2016,Baja California Sur,738609,Homicidios,216,29.24416030673875
2016,Baja California Sur,738609,Lesiones,1577,213.5094481654028
2016,Baja California Sur,738609,Narcomenudeo,462,62.55000954496899
2016,Baja California Sur,738609,Robo a casa,2869,388.4328514816364
2016,Baja California Sur,738609,Robo a negocio,23,3.1139615141434778
2016,Baja California Sur,738609,Robo a vehículo,1848,250.20003817987595
2016,Baja California Sur,738609,Secuestros,0,0.0
2016,Baja California Sur,738609,Violación,185,25.047081744197538
2016,Baja California Sur,738609,Violencia familiar,2099,284.1828355733548
2017,Baja California Sur,754947,Extorsión,227,30.068335922919093
2017,Baja California Sur,754947,Feminicidio,0,0.0
2017,Baja California Sur,754947,Homicidios,610,80.80037406599403
2017,Baja California Sur,754947,Lesiones,1643,217.63117145971836
2017,Baja California Sur,754947,Narcomenudeo,644,85.30400147295109
2017,Baja California Sur,754947,Robo a casa,2881,381.61619292480134
2017,Baja California Sur,754947,Robo a negocio,358,47.420547402665356
2017,Baja California Sur,754947,Robo a vehículo,1436,190.21202812912694
2017,Baja California Sur,754947,Secuestros,3,0.397378888849151
2017,Baja California Sur,754947,Violación,151,20.001404072073935
2017,Baja California Sur,754947,Violencia familiar,1982,262.53498589967245
2018,Baja California Sur,771739,Extorsión,198,25.656342364452232
2018,Baja California Sur,771739,Feminicidio,0,0.0
2018,Baja California Sur,771739,Homicidios,162,20.991552843642733
2018,Baja California Sur,771739,Lesiones,1610,208.61975356953582
2018,Baja California Sur,771739,Narcomenudeo,641,83.05916896774687
2018,Baja California Sur,771739,Robo a casa,2394,310.2085031338315
2018,Baja California Sur,771739,Robo a negocio,164,21.250707817021038
2018,Baja California Sur,771739,Robo a vehículo,1265,163.91552066177815
2018,Baja California Sur,771739,Secuestros,0,0.0
2018,Baja California Sur,771739,Violación,129,16.715495782900696
2018,Baja California Sur,771739,Violencia familiar,2110,273.40849691411216
2019,Baja California Sur,788998,Extorsión,185,23.447461210294577
2019,Baja California Sur,788998,Feminicidio,2,0.2534860671383197
2019,Baja California Sur,788998,Homicidios,81,10.26618571910195
2019,Baja California Sur,788998,Lesiones,1545,195.817986864352
2019,Baja California Sur,788998,Narcomenudeo,479,60.709913079627576
2019,Baja California Sur,788998,Robo a casa,2013,255.13372657471882
2019,Baja California Sur,788998,Robo a negocio,518,65.65289138882481
2019,Baja California Sur,788998,Robo a vehículo,832,105.45020392954102
2019,Baja California Sur,788998,Secuestros,5,0.6337151678457994
2019,Baja California Sur,788998,Violación,210,26.616037049523573
2019,Baja California Sur,788998,Violencia familiar,2612,331.05280368264556
2020,Baja California Sur,806422,Extorsión,89,11.03640525680103
2020,Baja California Sur,806422,Feminicidio,4,0.49601821378881034
2020,Baja California Sur,806422,Homicidios,62,7.68828231372656
2020,Baja California Sur,806422,Lesiones,1415,175.46644312779165
2020,Baja California Sur,806422,Narcomenudeo,436,54.06598530298032
2020,Baja California Sur,806422,Robo a casa,1155,143.22525923151898
2020,Baja California Sur,806422,Robo a negocio,671,83.20705536307293
2020,Baja California Sur,806422,Robo a vehículo,702,87.05119651993621
2020,Baja California Sur,806422,Secuestros,5,0.6200227672360129
2020,Baja California Sur,806422,Violación,178,22.07281051360206
2020,Baja California Sur,806422,Violencia familiar,2490,308.77133808353443
2021,Baja California Sur,823773,Extorsión,99,12.01787385602587
2021,Baja California Sur,823773,Feminicidio,7,0.8497486564866777
2021,Baja California Sur,823773,Homicidios,48,5.826847930194361
2021,Baja California Sur,823773,Lesiones,1504,182.57456847942333
2021,Baja California Sur,823773,Narcomenudeo,435,52.8058093673864
2021,Baja California Sur,823773,Robo a casa,1098,133.289146403196
2021,Baja California Sur,823773,Robo a negocio,605,73.44256245349143
2021,Baja California Sur,823773,Robo a vehículo,536,65.06646855383704
2021,Baja California Sur,823773,Secuestros,5,0.6069633260619127
2021,Baja California Sur,823773,Violación,209,25.37106702938795
2021,Baja California Sur,823773,Violencia familiar,2493,302.63191437446966
2022,Baja California Sur,839890,Extorsión,164,19.526366548000333
2022,Baja California Sur,839890,Feminicidio,6,0.7143792639512317
2022,Baja California Sur,839890,Homicidios,39,4.6434652156830065
2022,Baja California Sur,839890,Lesiones,1400,166.68849492195406
2022,Baja California Sur,839890,Narcomenudeo,519,61.793806331781546
2022,Baja California Sur,839890,Robo a casa,1287,153.2343521175392
2022,Baja California Sur,839890,Robo a negocio,635,75.60513876817203
2022,Baja California Sur,839890,Robo a vehículo,555,66.08008191548893
2022,Baja California Sur,839890,Secuestros,3,0.3571896319756159
2022,Baja California Sur,839890,Violación,247,29.408613032659037
2022,Baja California Sur,839890,Violencia familiar,2620,311.94561192537117
2023,Baja California Sur,858560,Extorsión,110,12.812150577711517
2023,Baja California Sur,858560,Feminicidio,2,0.23294819232202757
2023,Baja California Sur,858560,Homicidios,19,2.213007827059262
2023,Baja California Sur,858560,Lesiones,1395,162.48136414461425
2023,Baja California Sur,858560,Narcomenudeo,618,71.98099142750652
2023,Baja California Sur,858560,Robo a casa,863,100.5171449869549
2023,Baja California Sur,858560,Robo a negocio,495,57.65467759970183
2023,Baja California Sur,858560,Robo a vehículo,481,56.02404025344763
2023,Baja California Sur,858560,Secuestros,1,0.11647409616101378
2023,Baja California Sur,858560,Violación,237,27.604360790160268
2023,Baja California Sur,858560,Violencia familiar,2565,298.75605665300037
2015,Campeche,913091,Extorsión,34,3.7236157184771286
2015,Campeche,913091,Feminicidio,4,0.4380724374678975
2015,Campeche,913091,Homicidios,49,5.366387358981744
2015,Campeche,913091,Lesiones,96,10.51373849922954
2015,Campeche,913091,Narcomenudeo,58,6.352050343284514
2015,Campeche,913091,Robo a casa,123,13.470727452137849
2015,Campeche,913091,Robo a negocio,68,7.447231436954257
2015,Campeche,913091,Robo a vehículo,311,34.06013201312903
2015,Campeche,913091,Secuestros,6,0.6571086562018462
2015,Campeche,913091,Violación,44,4.818796812146872
2015,Campeche,913091,Violencia familiar,18,1.9713259686055387
2016,Campeche,920965,Extorsión,18,1.9544716683044416
2016,Campeche,920965,Feminicidio,3,0.3257452780507403
2016,Campeche,920965,Homicidios,81,8.795122507369987
2016,Campeche,920965,Lesiones,80,8.68654074801974
2016,Campeche,920965,Narcomenudeo,66,7.166396117116285
2016,Campeche,920965,Robo a casa,80,8.68654074801974
2016,Campeche,920965,Robo a negocio,86,9.338031304121222
2016,Campeche,920965,Robo a vehículo,713,77.41879441672593
2016,Campeche,920965,Secuestros,6,0.6514905561014805
2016,Campeche,920965,Violación,76,8.252213710618753
2016,Campeche,920965,Violencia familiar,43,4.669015652060611
2017,Campeche,925721,Extorsión,22,2.376525972728284
2017,Campeche,925721,Feminicidio,1,0.10802390785128564
2017,Campeche,925721,Homicidios,66,7.129577918184853
2017,Campeche,925721,Lesiones,117,12.63879721860042
2017,Campeche,925721,Narcomenudeo,152,16.41963399339542
2017,Campeche,925721,Robo a casa,104,11.234486416533707
2017,Campeche,925721,Robo a negocio,98,10.586342969425994
2017,Campeche,925721,Robo a vehículo,487,52.60764312357611
2017,Campeche,925721,Secuestros,6,0.6481434471077139
2017,Campeche,925721,Violación,57,6.1573627475232815
2017,Campeche,925721,Violencia familiar,65,7.021554010333567
2018,Campeche,930149,Extorsión,18,1.9351738269890093
2018,Campeche,930149,Feminicidio,5,0.5375482852747248
2018,Campeche,930149,Homicidios,69,7.418166336791202
2018,Campeche,930149,Lesiones,114,12.256100904263725
2018,Campeche,930149,Narcomenudeo,90,9.675869134945046
2018,Campeche,930149,Robo a casa,134,14.406294045362625
2018,Campeche,930149,Robo a negocio,206,22.146989353318663
2018,Campeche,930149,Robo a vehículo,428,46.014133219516445
2018,Campeche,930149,Secuestros,8,0.8600772564395597
2018,Campeche,930149,Violación,67,7.203147022681312
2018,Campeche,930149,Violencia familiar,52,5.590502166857138
2019,Campeche,934380,Extorsión,25,2.6755709668443246
2019,Campeche,934380,Feminicidio,6,0.642137032042638
2019,Campeche,934380,Homicidios,73,7.812667223185428
2019,Campeche,934380,Lesiones,109,11.665489415441256
2019,Campeche,934380,Narcomenudeo,116,12.414649286157665
2019,Campeche,934380,Robo a casa,129,13.805946188916716
2019,Campeche,934380,Robo a negocio,134,14.34106038228558
2019,Campeche,934380,Robo a vehículo,627,67.10331984845566
2019,Campeche,934380,Secuestros,3,0.321068516021319
2019,Campeche,934380,Violación,61,6.528393159100152
2019,Campeche,934380,Violencia familiar,62,6.635415997773925
2020,Campeche,937888,Extorsión,13,1.386093008973353
2020,Campeche,937888,Feminicidio,3,0.3198676174553891
2020,Campeche,937888,Homicidios,77,8.20993551468832
2020,Campeche,937888,Lesiones,71,7.570200279777543
2020,Campeche,937888,Narcomenudeo,111,11.835101845849398
2020,Campeche,937888,Robo a casa,171,18.23245419495718
2020,Campeche,937888,Robo a negocio,197,21.004640212903887
2020,Campeche,937888,Robo a vehículo,391,41.68941280835239
2020,Campeche,937888,Secuestros,2,0.21324507830359277
2020,Campeche,937888,Violación,53,5.650994575045208
2020,Campeche,937888,Violencia familiar,45,4.798014261830837
2021,Campeche,940463,Extorsión,33,3.5089099730664577
2021,Campeche,940463,Feminicidio,7,0.7443142367110668
2021,Campeche,940463,Homicidios,85,9.03810144577724
2021,Campeche,940463,Lesiones,532,56.56788199004107
2021,Campeche,940463,Narcomenudeo,145,15.417937760443527
2021,Campeche,940463,Robo a casa,344,36.57772820408671
2021,Campeche,940463,Robo a negocio,307,32.6434958100425
2021,Campeche,940463,Robo a vehículo,438,46.57280509706389
2021,Campeche,940463,Secuestros,1,0.10633060524443812
2021,Campeche,940463,Violación,60,6.379836314666287
2021,Campeche,940463,Violencia familiar,314,33.387810046753565
2022,Campeche,942904,Extorsión,90,9.544980188863342
2022,Campeche,942904,Feminicidio,11,1.166608689749964
2022,Campeche,942904,Homicidios,87,9.226814182567896
2022,Campeche,942904,Lesiones,3107,329.5139271866489
2022,Campeche,942904,Narcomenudeo,224,23.75639513672654
2022,Campeche,942904,Robo a casa,1324,140.41726411172294
2022,Campeche,942904,Robo a negocio,921,97.67696393270153
2022,Campeche,942904,Robo a vehículo,494,52.391335703316564
2022,Campeche,942904,Secuestros,3,0.3181660062954447
2022,Campeche,942904,Violación,107,11.347920891204195
2022,Campeche,942904,Violencia familiar,1957,207.55029144006176
2023,Campeche,948000,Extorsión,82,8.649789029535865
2023,Campeche,948000,Feminicidio,14,1.4767932489451476
2023,Campeche,948000,Homicidios,77,8.122362869198312
2023,Campeche,948000,Lesiones,2751,290.1898734177215
2023,Campeche,948000,Narcomenudeo,236,24.89451476793249
2023,Campeche,948000,Robo a casa,947,99.89451476793249
2023,Campeche,948000,Robo a negocio,856,90.29535864978902
2023,Campeche,948000,Robo a vehículo,449,47.36286919831224
2023,Campeche,948000,Secuestros,1,0.10548523206751055
2023,Campeche,948000,Violación,84,8.860759493670885
2023,Campeche,948000,Violencia familiar,1836,193.67088607594937
2015,Chiapas,5350893,Extorsión,217,4.055397856021416
2015,Chiapas,5350893,Feminicidio,36,0.6727848977731381
2015,Chiapas,5350893,Homicidios,502,9.381611630058758
2015,Chiapas,5350893,Lesiones,746,13.941598159410027
2015,Chiapas,5350893,Narcomenudeo,724,13.53045183299311
2015,Chiapas,5350893,Robo a casa,1874,35.02219162296835
2015,Chiapas,5350893,Robo a negocio,899,16.800933974945863
2015,Chiapas,5350893,Robo a vehículo,2045,38.21791988739076
2015,Chiapas,5350893,Secuestros,10,0.1868846938258717
2015,Chiapas,5350893,Violación,717,13.399632547314999
2015,Chiapas,5350893,Violencia familiar,1251,23.379275197616547
2016,Chiapas,5421591,Extorsión,164,3.0249423093700725
2016,Chiapas,5421591,Feminicidio,32,0.5902326457307459
2016,Chiapas,5421591,Homicidios,468,8.632152443812158
2016,Chiapas,5421591,Lesiones,1006,18.55543880016032
2016,Chiapas,5421591,Narcomenudeo,436,8.041919798081413
2016,Chiapas,5421591,Robo a casa,1615,29.788303839223577
2016,Chiapas,5421591,Robo a negocio,1283,23.66464013976709
2016,Chiapas,5421591,Robo a vehículo,2676,49.35820499923362
2016,Chiapas,5421591,Secuestros,15,0.2766715526862871
2016,Chiapas,5421591,Violación,606,11.177530728526
2016,Chiapas,5421591,Violencia familiar,1964,36.22552863172452
2017,Chiapas,5485049,Extorsión,159,2.8987890536620546
2017,Chiapas,5485049,Feminicidio,29,0.5287099531836452
2017,Chiapas,5485049,Homicidios,475,8.659904405594189
2017,Chiapas,5485049,Lesiones,1144,20.856696084210004
2017,Chiapas,5485049,Narcomenudeo,725,13.21774882959113
2017,Chiapas,5485049,Robo a casa,1318,24.028955803311877
2017,Chiapas,5485049,Robo a negocio,1617,29.480137734412217
2017,Chiapas,5485049,Robo a vehículo,2975,54.238348645563605
2017,Chiapas,5485049,Secuestros,21,0.3828589316157431
2017,Chiapas,5485049,Violación,578,10.537736308280929
2017,Chiapas,5485049,Violencia familiar,3506,63.91921020213311
2018,Chiapas,5549727,Extorsión,184,3.3154784010096354
2018,Chiapas,5549727,Feminicidio,21,0.37839699141957794
2018,Chiapas,5549727,Homicidios,562,10.126624246562038
2018,Chiapas,5549727,Lesiones,1268,22.847970720001182
2018,Chiapas,5549727,Narcomenudeo,909,16.37918405716173
2018,Chiapas,5549727,Robo a casa,939,16.91975118776113
2018,Chiapas,5549727,Robo a negocio,1214,21.874949884922266
2018,Chiapas,5549727,Robo a vehículo,2488,44.83103403104333
2018,Chiapas,5549727,Secuestros,24,0.43245370447951764
2018,Chiapas,5549727,Violación,544,9.8022839682024
2018,Chiapas,5549727,Violencia familiar,6032,108.69003105918543
2019,Chiapas,5616056,Extorsión,138,2.457240454867259
2019,Chiapas,5616056,Feminicidio,20,0.356121805053226
2019,Chiapas,5616056,Homicidios,525,9.348197382647182
2019,Chiapas,5616056,Lesiones,890,15.847420324868555
2019,Chiapas,5616056,Narcomenudeo,852,15.170788895267426
2019,Chiapas,5616056,Robo a casa,773,13.764107765307184
2019,Chiapas,5616056,Robo a negocio,764,13.603852953033233
2019,Chiapas,5616056,Robo a vehículo,2334,41.55941464971147
2019,Chiapas,5616056,Secuestros,21,0.37392789530588727
2019,Chiapas,5616056,Violación,531,9.45503392416315
2019,Chiapas,5616056,Violencia familiar,5108,90.9535090105939
2020,Chiapas,5680195,Extorsión,72,1.2675621171456262
2020,Chiapas,5680195,Feminicidio,28,0.4929408233344102
2020,Chiapas,5680195,Homicidios,419,7.376507320611352
2020,Chiapas,5680195,Lesiones,644,11.337638936691434
2020,Chiapas,5680195,Narcomenudeo,1103,19.4183474334948
2020,Chiapas,5680195,Robo a casa,225,3.9611316160800816
2020,Chiapas,5680195,Robo a negocio,289,5.087853497987305
2020,Chiapas,5680195,Robo a vehículo,1860,32.74535469292868
